"id","country","age","month","visitors"
"362","Japan","41-50","1/1/2010",38987
"363","Japan","51-60","1/1/2010",40755
"364","Japan","61+","1/1/2010",31788
"365","Taiwan","Total","1/1/2010",36651
"366","Taiwan","0-20","1/1/2010",8277
"367","Taiwan","21-30","1/1/2010",8447
"368","Taiwan","31-40","1/1/2010",8310
"369","Taiwan","41-50","1/1/2010",7016
"370","Taiwan","51-60","1/1/2010",2893
"371","Taiwan","61+","1/1/2010",1247
"372","Hong Kong","Total","1/1/2010",23051
"373","Hong Kong","0-20","1/1/2010",4614
"374","Hong Kong","21-30","1/1/2010",4048
"375","Hong Kong","31-40","1/1/2010",5345
"376","Hong Kong","41-50","1/1/2010",5702
"377","Hong Kong","51-60","1/1/2010",2075
"378","Hong Kong","61+","1/1/2010",821
"379","Thailand","Total","1/1/2010",16683
"380","Thailand","0-20","1/1/2010",792
"381","Thailand","21-30","1/1/2010",3604
"382","Thailand","31-40","1/1/2010",4440
"383","Thailand","41-50","1/1/2010",2634
"384","Thailand","51-60","1/1/2010",1511
"385","Thailand","61+","1/1/2010",560
"386","Malaysia","Total","1/1/2010",7483
"387","Malaysia","0-20","1/1/2010",1069
"388","Malaysia","21-30","1/1/2010",1713
"389","Malaysia","31-40","1/1/2010",1436
"390","Malaysia","41-50","1/1/2010",1197
"391","Malaysia","51-60","1/1/2010",755
"392","Malaysia","61+","1/1/2010",227
"393","Philippines","Total","1/1/2010",20411
"394","Philippines","0-20","1/1/2010",160
"395","Philippines","21-30","1/1/2010",1452
"396","Philippines","31-40","1/1/2010",2436
"397","Philippines","41-50","1/1/2010",1390
"398","Philippines","51-60","1/1/2010",675
"399","Philippines","61+","1/1/2010",212
"400","Indonesia","Total","1/1/2010",4922
"401","Indonesia","0-20","1/1/2010",132
"402","Indonesia","21-30","1/1/2010",869
"403","Indonesia","31-40","1/1/2010",1088
"404","Indonesia","41-50","1/1/2010",571
"405","Indonesia","51-60","1/1/2010",288
"406","Indonesia","61+","1/1/2010",96
"407","Singapore","Total","1/1/2010",5798
"408","Singapore","0-20","1/1/2010",547
"409","Singapore","21-30","1/1/2010",785
"410","Singapore","31-40","1/1/2010",1296
"411","Singapore","41-50","1/1/2010",1136
"412","Singapore","51-60","1/1/2010",877
"413","Singapore","61+","1/1/2010",278
"414","Myanmar","Total","1/1/2010",4464
"415","Myanmar","0-20","1/1/2010",9
"416","Myanmar","21-30","1/1/2010",360
