"ID","Classfication","Period","variable","value"
"2208","U.K.",2016,"Alcohol",NA
"2209","Germany",2001,"Alcohol",14
"2210","Germany",2002,"Alcohol",NA
"2211","Germany",2003,"Alcohol",26.4
"2212","Germany",2004,"Alcohol",18.3
"2213","Germany",2005,"Alcohol",19.9
"2214","Germany",2006,"Alcohol",10.3
"2215","Germany",2007,"Alcohol",15.6
"2216","Germany",2008,"Alcohol",14.4
"2217","Germany",2009,"Alcohol",11.4
"2218","Germany",2010,"Alcohol",17.6
"2219","Germany",2011,"Alcohol",13.8
"2220","Germany",2012,"Alcohol",12.3
"2221","Germany",2013,"Alcohol",7.4
"2222","Germany",2014,"Alcohol",NA
"2223","Germany",2015,"Alcohol",NA
"2224","Germany",2016,"Alcohol",NA
"2225","France",2001,"Alcohol",24.1
"2226","France",2002,"Alcohol",NA
"2227","France",2003,"Alcohol",28.2
"2228","France",2004,"Alcohol",16.3
"2229","France",2005,"Alcohol",17.3
"2230","France",2006,"Alcohol",14.7
"2231","France",2007,"Alcohol",14.4
"2232","France",2008,"Alcohol",10
"2233","France",2009,"Alcohol",9.2
"2234","France",2010,"Alcohol",9.8
"2235","France",2011,"Alcohol",9.5
"2236","France",2012,"Alcohol",5.8
"2237","France",2013,"Alcohol",8.3
"2238","France",2014,"Alcohol",NA
"2239","France",2015,"Alcohol",NA
"2240","France",2016,"Alcohol",NA
"2241","Russianfed.",2001,"Alcohol",29
"2242","Russianfed.",2002,"Alcohol",NA
"2243","Russianfed.",2003,"Alcohol",30.6
"2244","Russianfed.",2004,"Alcohol",32.2
"2245","Russianfed.",2005,"Alcohol",32.3
"2246","Russianfed.",2006,"Alcohol",19
"2247","Russianfed.",2007,"Alcohol",26.5
"2248","Russianfed.",2008,"Alcohol",19.8
"2249","Russianfed.",2009,"Alcohol",21.5
"2250","Russianfed.",2010,"Alcohol",13.5
"2251","Russianfed.",2011,"Alcohol",8.4
"2252","Russianfed.",2012,"Alcohol",10.5
"2253","Russianfed.",2013,"Alcohol",14.1
"2254","Russianfed.",2014,"Alcohol",NA
"2255","Russianfed.",2015,"Alcohol",NA
"2256","Russianfed.",2016,"Alcohol",NA
"2257","Middleeast",2001,"Alcohol",NA
"2258","Middleeast",2002,"Alcohol",NA
"2259","Middleeast",2003,"Alcohol",NA
"2260","Middleeast",2004,"Alcohol",NA
"2261","Middleeast",2005,"Alcohol",16.7
"2262","Middleeast",2006,"Alcohol",7.8
"2263","Middleeast",2007,"Alcohol",11.5
"2264","Middleeast",2008,"Alcohol",7.7
"2265","Middleeast",2009,"Alcohol",10.6
"2266","Middleeast",2010,"Alcohol",7
"2267","Middleeast",2011,"Alcohol",2.9
"2268","Middleeast",2012,"Alcohol",7.3
"2269","Middleeast",2013,"Alcohol",5
"2270","Middleeast",2014,"Alcohol",NA
"2271","Middleeast",2015,"Alcohol",NA
"2272","Middleeast",2016,"Alcohol",NA
"2273","India",2001,"Alcohol",NA
"2274","India",2002,"Alcohol",NA
"2275","India",2003,"Alcohol",NA
"2276","India",2004,"Alcohol",NA
"2277","India",2005,"Alcohol",NA
"2278","India",2006,"Alcohol",NA
"2279","India",2007,"Alcohol",NA
"2280","India",2008,"Alcohol",15.7
"2281","India",2009,"Alcohol",12
"2282","India",2010,"Alcohol",9.1
"2283","India",2011,"Alcohol",6.3
"2284","India",2012,"Alcohol",9.3
"2285","India",2013,"Alcohol",9.8
"2286","India",2014,"Alcohol",NA
"2287","India",2015,"Alcohol",NA
"2288","India",2016,"Alcohol",NA
"2289","Others",2001,"Alcohol",16.6
"2290","Others",2002,"Alcohol",NA
"2291","Others",2003,"Alcohol",20.9
"2292","Others",2004,"Alcohol",20.5
"2293","Others",2005,"Alcohol",18.3
"2294","Others",2006,"Alcohol",13.4
"2295","Others",2007,"Alcohol",13.8
"2296","Others",2008,"Alcohol",13
"2297","Others",2009,"Alcohol",11.5
"2298","Others",2010,"Alcohol",9.6
"2299","Others",2011,"Alcohol",9.6
"2300","Others",2012,"Alcohol",9.9
"2301","Others",2013,"Alcohol",10.6
"2302","Others",2014,"Alcohol",NA
"2303","Others",2015,"Alcohol",NA
"2304","Others",2016,"Alcohol",NA
"2305","Whole",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2306","Whole",2002,"Traditional.crafts.lacquerware.wood.carving.products",16.3
"2307","Whole",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2308","Whole",2004,"Traditional.crafts.lacquerware.wood.carving.products",15.9
"2309","Whole",2005,"Traditional.crafts.lacquerware.wood.carving.products",16.2
"2310","Whole",2006,"Traditional.crafts.lacquerware.wood.carving.products",10.1
"2311","Whole",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2312","Whole",2008,"Traditional.crafts.lacquerware.wood.carving.products",8.7
"2313","Whole",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2314","Whole",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2315","Whole",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2316","Whole",2012,"Traditional.crafts.lacquerware.wood.carving.products",5.5
"2317","Whole",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2318","Whole",2014,"Traditional.crafts.lacquerware.wood.carving.products",5.4
"2319","Whole",2015,"Traditional.crafts.lacquerware.wood.carving.products",5.6
"2320","Whole",2016,"Traditional.crafts.lacquerware.wood.carving.products",4.9
"2321","Japan",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2322","Japan",2002,"Traditional.crafts.lacquerware.wood.carving.products",11.6
"2323","Japan",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2324","Japan",2004,"Traditional.crafts.lacquerware.wood.carving.products",12.6
"2325","Japan",2005,"Traditional.crafts.lacquerware.wood.carving.products",11.4
"2326","Japan",2006,"Traditional.crafts.lacquerware.wood.carving.products",5.7
"2327","Japan",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2328","Japan",2008,"Traditional.crafts.lacquerware.wood.carving.products",4.2
"2329","Japan",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2330","Japan",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2331","Japan",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2332","Japan",2012,"Traditional.crafts.lacquerware.wood.carving.products",3.6
"2333","Japan",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2334","Japan",2014,"Traditional.crafts.lacquerware.wood.carving.products",4.1
"2335","Japan",2015,"Traditional.crafts.lacquerware.wood.carving.products",5.1
"2336","Japan",2016,"Traditional.crafts.lacquerware.wood.carving.products",4.5
"2337","China",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2338","China",2002,"Traditional.crafts.lacquerware.wood.carving.products",22.2
"2339","China",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2340","China",2004,"Traditional.crafts.lacquerware.wood.carving.products",19.7
"2341","China",2005,"Traditional.crafts.lacquerware.wood.carving.products",21.8
"2342","China",2006,"Traditional.crafts.lacquerware.wood.carving.products",13.5
"2343","China",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2344","China",2008,"Traditional.crafts.lacquerware.wood.carving.products",11.3
"2345","China",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2346","China",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2347","China",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2348","China",2012,"Traditional.crafts.lacquerware.wood.carving.products",2.5
"2349","China",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2350","China",2014,"Traditional.crafts.lacquerware.wood.carving.products",1.9
"2351","China",2015,"Traditional.crafts.lacquerware.wood.carving.products",2.2
"2352","China",2016,"Traditional.crafts.lacquerware.wood.carving.products",2
"2353","Hongkong",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2354","Hongkong",2002,"Traditional.crafts.lacquerware.wood.carving.products",23.2
"2355","Hongkong",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2356","Hongkong",2004,"Traditional.crafts.lacquerware.wood.carving.products",16.6
"2357","Hongkong",2005,"Traditional.crafts.lacquerware.wood.carving.products",19.5
"2358","Hongkong",2006,"Traditional.crafts.lacquerware.wood.carving.products",14.5
"2359","Hongkong",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2360","Hongkong",2008,"Traditional.crafts.lacquerware.wood.carving.products",10.3
"2361","Hongkong",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2362","Hongkong",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2363","Hongkong",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2364","Hongkong",2012,"Traditional.crafts.lacquerware.wood.carving.products",4
"2365","Hongkong",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2366","Hongkong",2014,"Traditional.crafts.lacquerware.wood.carving.products",5.9
"2367","Hongkong",2015,"Traditional.crafts.lacquerware.wood.carving.products",3.2
"2368","Hongkong",2016,"Traditional.crafts.lacquerware.wood.carving.products",2.5
"2369","Singapore",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2370","Singapore",2002,"Traditional.crafts.lacquerware.wood.carving.products",11
"2371","Singapore",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2372","Singapore",2004,"Traditional.crafts.lacquerware.wood.carving.products",13.9
"2373","Singapore",2005,"Traditional.crafts.lacquerware.wood.carving.products",15.1
"2374","Singapore",2006,"Traditional.crafts.lacquerware.wood.carving.products",6.3
"2375","Singapore",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2376","Singapore",2008,"Traditional.crafts.lacquerware.wood.carving.products",4.9
"2377","Singapore",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2378","Singapore",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2379","Singapore",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2380","Singapore",2012,"Traditional.crafts.lacquerware.wood.carving.products",6.5
"2381","Singapore",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2382","Singapore",2014,"Traditional.crafts.lacquerware.wood.carving.products",8.1
"2383","Singapore",2015,"Traditional.crafts.lacquerware.wood.carving.products",7.6
"2384","Singapore",2016,"Traditional.crafts.lacquerware.wood.carving.products",6.5
"2385","Taiwan",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2386","Taiwan",2002,"Traditional.crafts.lacquerware.wood.carving.products",28.6
"2387","Taiwan",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2388","Taiwan",2004,"Traditional.crafts.lacquerware.wood.carving.products",22.6
"2389","Taiwan",2005,"Traditional.crafts.lacquerware.wood.carving.products",19.4
"2390","Taiwan",2006,"Traditional.crafts.lacquerware.wood.carving.products",14.3
"2391","Taiwan",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2392","Taiwan",2008,"Traditional.crafts.lacquerware.wood.carving.products",10.1
"2393","Taiwan",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2394","Taiwan",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2395","Taiwan",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2396","Taiwan",2012,"Traditional.crafts.lacquerware.wood.carving.products",3
"2397","Taiwan",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2398","Taiwan",2014,"Traditional.crafts.lacquerware.wood.carving.products",1.7
"2399","Taiwan",2015,"Traditional.crafts.lacquerware.wood.carving.products",1.7
"2400","Taiwan",2016,"Traditional.crafts.lacquerware.wood.carving.products",2
"2401","Thailand",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2402","Thailand",2002,"Traditional.crafts.lacquerware.wood.carving.products",12.2
"2403","Thailand",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2404","Thailand",2004,"Traditional.crafts.lacquerware.wood.carving.products",13.5
"2405","Thailand",2005,"Traditional.crafts.lacquerware.wood.carving.products",13.6
"2406","Thailand",2006,"Traditional.crafts.lacquerware.wood.carving.products",8.1
"2407","Thailand",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2408","Thailand",2008,"Traditional.crafts.lacquerware.wood.carving.products",2.2
"2409","Thailand",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2410","Thailand",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2411","Thailand",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2412","Thailand",2012,"Traditional.crafts.lacquerware.wood.carving.products",10.4
"2413","Thailand",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2414","Thailand",2014,"Traditional.crafts.lacquerware.wood.carving.products",2.1
"2415","Thailand",2015,"Traditional.crafts.lacquerware.wood.carving.products",2.7
"2416","Thailand",2016,"Traditional.crafts.lacquerware.wood.carving.products",2.4
"2417","Malaysia",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2418","Malaysia",2002,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2419","Malaysia",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2420","Malaysia",2004,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2421","Malaysia",2005,"Traditional.crafts.lacquerware.wood.carving.products",10.2
"2422","Malaysia",2006,"Traditional.crafts.lacquerware.wood.carving.products",11.3
"2423","Malaysia",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2424","Malaysia",2008,"Traditional.crafts.lacquerware.wood.carving.products",10.6
"2425","Malaysia",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2426","Malaysia",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2427","Malaysia",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2428","Malaysia",2012,"Traditional.crafts.lacquerware.wood.carving.products",3.4
"2429","Malaysia",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2430","Malaysia",2014,"Traditional.crafts.lacquerware.wood.carving.products",10.7
"2431","Malaysia",2015,"Traditional.crafts.lacquerware.wood.carving.products",12.2
"2432","Malaysia",2016,"Traditional.crafts.lacquerware.wood.carving.products",11
"2433","Australia",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2434","Australia",2002,"Traditional.crafts.lacquerware.wood.carving.products",21.4
"2435","Australia",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2436","Australia",2004,"Traditional.crafts.lacquerware.wood.carving.products",17.3
"2437","Australia",2005,"Traditional.crafts.lacquerware.wood.carving.products",15.9
"2438","Australia",2006,"Traditional.crafts.lacquerware.wood.carving.products",12.3
"2439","Australia",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2440","Australia",2008,"Traditional.crafts.lacquerware.wood.carving.products",13.1
"2441","Australia",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2442","Australia",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2443","Australia",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2444","Australia",2012,"Traditional.crafts.lacquerware.wood.carving.products",3.2
"2445","Australia",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2446","Australia",2014,"Traditional.crafts.lacquerware.wood.carving.products",14.5
"2447","Australia",2015,"Traditional.crafts.lacquerware.wood.carving.products",13.3
"2448","Australia",2016,"Traditional.crafts.lacquerware.wood.carving.products",15.2
"2449","U.S.A.",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2450","U.S.A.",2002,"Traditional.crafts.lacquerware.wood.carving.products",24.6
"2451","U.S.A.",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2452","U.S.A.",2004,"Traditional.crafts.lacquerware.wood.carving.products",20.4
"2453","U.S.A.",2005,"Traditional.crafts.lacquerware.wood.carving.products",23.6
"2454","U.S.A.",2006,"Traditional.crafts.lacquerware.wood.carving.products",15.1
"2455","U.S.A.",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2456","U.S.A.",2008,"Traditional.crafts.lacquerware.wood.carving.products",17.2
"2457","U.S.A.",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2458","U.S.A.",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2459","U.S.A.",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2460","U.S.A.",2012,"Traditional.crafts.lacquerware.wood.carving.products",12.3
"2461","U.S.A.",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2462","U.S.A.",2014,"Traditional.crafts.lacquerware.wood.carving.products",17.4
"2463","U.S.A.",2015,"Traditional.crafts.lacquerware.wood.carving.products",18.1
"2464","U.S.A.",2016,"Traditional.crafts.lacquerware.wood.carving.products",18.4
"2465","Canada",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2466","Canada",2002,"Traditional.crafts.lacquerware.wood.carving.products",27.4
"2467","Canada",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2468","Canada",2004,"Traditional.crafts.lacquerware.wood.carving.products",28.1
"2469","Canada",2005,"Traditional.crafts.lacquerware.wood.carving.products",26.8
"2470","Canada",2006,"Traditional.crafts.lacquerware.wood.carving.products",18.8
"2471","Canada",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2472","Canada",2008,"Traditional.crafts.lacquerware.wood.carving.products",16
"2473","Canada",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2474","Canada",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2475","Canada",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2476","Canada",2012,"Traditional.crafts.lacquerware.wood.carving.products",14.5
"2477","Canada",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2478","Canada",2014,"Traditional.crafts.lacquerware.wood.carving.products",16
"2479","Canada",2015,"Traditional.crafts.lacquerware.wood.carving.products",21.8
"2480","Canada",2016,"Traditional.crafts.lacquerware.wood.carving.products",20.1
"2481","U.K.",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2482","U.K.",2002,"Traditional.crafts.lacquerware.wood.carving.products",17.7
"2483","U.K.",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2484","U.K.",2004,"Traditional.crafts.lacquerware.wood.carving.products",17.2
"2485","U.K.",2005,"Traditional.crafts.lacquerware.wood.carving.products",16.7
"2486","U.K.",2006,"Traditional.crafts.lacquerware.wood.carving.products",11.6
"2487","U.K.",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2488","U.K.",2008,"Traditional.crafts.lacquerware.wood.carving.products",7.2
"2489","U.K.",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2490","U.K.",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2491","U.K.",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2492","U.K.",2012,"Traditional.crafts.lacquerware.wood.carving.products",11.1
"2493","U.K.",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2494","U.K.",2014,"Traditional.crafts.lacquerware.wood.carving.products",14
"2495","U.K.",2015,"Traditional.crafts.lacquerware.wood.carving.products",18.5
"2496","U.K.",2016,"Traditional.crafts.lacquerware.wood.carving.products",11.8
"2497","Germany",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2498","Germany",2002,"Traditional.crafts.lacquerware.wood.carving.products",13.3
"2499","Germany",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2500","Germany",2004,"Traditional.crafts.lacquerware.wood.carving.products",11.2
"2501","Germany",2005,"Traditional.crafts.lacquerware.wood.carving.products",12
"2502","Germany",2006,"Traditional.crafts.lacquerware.wood.carving.products",9.1
"2503","Germany",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2504","Germany",2008,"Traditional.crafts.lacquerware.wood.carving.products",9.5
"2505","Germany",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2506","Germany",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2507","Germany",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2508","Germany",2012,"Traditional.crafts.lacquerware.wood.carving.products",10.1
"2509","Germany",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2510","Germany",2014,"Traditional.crafts.lacquerware.wood.carving.products",16
"2511","Germany",2015,"Traditional.crafts.lacquerware.wood.carving.products",19.6
"2512","Germany",2016,"Traditional.crafts.lacquerware.wood.carving.products",17.5
"2513","France",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2514","France",2002,"Traditional.crafts.lacquerware.wood.carving.products",28.4
"2515","France",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2516","France",2004,"Traditional.crafts.lacquerware.wood.carving.products",25.3
"2517","France",2005,"Traditional.crafts.lacquerware.wood.carving.products",23.7
"2518","France",2006,"Traditional.crafts.lacquerware.wood.carving.products",14.7
"2519","France",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2520","France",2008,"Traditional.crafts.lacquerware.wood.carving.products",11.4
"2521","France",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2522","France",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2523","France",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2524","France",2012,"Traditional.crafts.lacquerware.wood.carving.products",9
"2525","France",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2526","France",2014,"Traditional.crafts.lacquerware.wood.carving.products",15
"2527","France",2015,"Traditional.crafts.lacquerware.wood.carving.products",14.6
"2528","France",2016,"Traditional.crafts.lacquerware.wood.carving.products",18.6
"2529","Russianfed.",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2530","Russianfed.",2002,"Traditional.crafts.lacquerware.wood.carving.products",27.4
"2531","Russianfed.",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2532","Russianfed.",2004,"Traditional.crafts.lacquerware.wood.carving.products",16.6
"2533","Russianfed.",2005,"Traditional.crafts.lacquerware.wood.carving.products",25.2
"2534","Russianfed.",2006,"Traditional.crafts.lacquerware.wood.carving.products",9.1
"2535","Russianfed.",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2536","Russianfed.",2008,"Traditional.crafts.lacquerware.wood.carving.products",9
"2537","Russianfed.",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2538","Russianfed.",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2539","Russianfed.",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2540","Russianfed.",2012,"Traditional.crafts.lacquerware.wood.carving.products",12.8
"2541","Russianfed.",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2542","Russianfed.",2014,"Traditional.crafts.lacquerware.wood.carving.products",7.8
"2543","Russianfed.",2015,"Traditional.crafts.lacquerware.wood.carving.products",5.9
"2544","Russianfed.",2016,"Traditional.crafts.lacquerware.wood.carving.products",3.9
"2545","Middleeast",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2546","Middleeast",2002,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2547","Middleeast",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2548","Middleeast",2004,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2549","Middleeast",2005,"Traditional.crafts.lacquerware.wood.carving.products",32.9
"2550","Middleeast",2006,"Traditional.crafts.lacquerware.wood.carving.products",5.7
"2551","Middleeast",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2552","Middleeast",2008,"Traditional.crafts.lacquerware.wood.carving.products",5.8
"2553","Middleeast",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2554","Middleeast",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2555","Middleeast",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2556","Middleeast",2012,"Traditional.crafts.lacquerware.wood.carving.products",7.6
"2557","Middleeast",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2558","Middleeast",2014,"Traditional.crafts.lacquerware.wood.carving.products",5.9
"2559","Middleeast",2015,"Traditional.crafts.lacquerware.wood.carving.products",6
"2560","Middleeast",2016,"Traditional.crafts.lacquerware.wood.carving.products",5.5
"2561","India",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2562","India",2002,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2563","India",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2564","India",2004,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2565","India",2005,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2566","India",2006,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2567","India",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2568","India",2008,"Traditional.crafts.lacquerware.wood.carving.products",5.9
"2569","India",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2570","India",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2571","India",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2572","India",2012,"Traditional.crafts.lacquerware.wood.carving.products",10.2
"2573","India",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2574","India",2014,"Traditional.crafts.lacquerware.wood.carving.products",10.3
"2575","India",2015,"Traditional.crafts.lacquerware.wood.carving.products",12
"2576","India",2016,"Traditional.crafts.lacquerware.wood.carving.products",9.4
"2577","Others",2001,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2578","Others",2002,"Traditional.crafts.lacquerware.wood.carving.products",18.9
"2579","Others",2003,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2580","Others",2004,"Traditional.crafts.lacquerware.wood.carving.products",16.7
"2581","Others",2005,"Traditional.crafts.lacquerware.wood.carving.products",18
"2582","Others",2006,"Traditional.crafts.lacquerware.wood.carving.products",13
"2583","Others",2007,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2584","Others",2008,"Traditional.crafts.lacquerware.wood.carving.products",11
"2585","Others",2009,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2586","Others",2010,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2587","Others",2011,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2588","Others",2012,"Traditional.crafts.lacquerware.wood.carving.products",14.9
"2589","Others",2013,"Traditional.crafts.lacquerware.wood.carving.products",NA
"2590","Others",2014,"Traditional.crafts.lacquerware.wood.carving.products",15.5
"2591","Others",2015,"Traditional.crafts.lacquerware.wood.carving.products",12.3
"2592","Others",2016,"Traditional.crafts.lacquerware.wood.carving.products",11.9
"2593","Whole",2001,"Leather.Goods",24.6
"2594","Whole",2002,"Leather.Goods",21.1
"2595","Whole",2003,"Leather.Goods",17
"2596","Whole",2004,"Leather.Goods",15.6
"2597","Whole",2005,"Leather.Goods",NA
"2598","Whole",2006,"Leather.Goods",9
"2599","Whole",2007,"Leather.Goods",9
"2600","Whole",2008,"Leather.Goods",NA
"2601","Whole",2009,"Leather.Goods",10.3
"2602","Whole",2010,"Leather.Goods",8.4
"2603","Whole",2011,"Leather.Goods",8.2
"2604","Whole",2012,"Leather.Goods",10.6
"2605","Whole",2013,"Leather.Goods",10.5
"2606","Whole",2014,"Leather.Goods",10.9
"2607","Whole",2015,"Leather.Goods",10.1
"2608","Whole",2016,"Leather.Goods",9.3
"2609","Japan",2001,"Leather.Goods",27.8
"2610","Japan",2002,"Leather.Goods",25.9
"2611","Japan",2003,"Leather.Goods",18.1
"2612","Japan",2004,"Leather.Goods",18.9
"2613","Japan",2005,"Leather.Goods",NA
"2614","Japan",2006,"Leather.Goods",12.9
"2615","Japan",2007,"Leather.Goods",11.2
"2616","Japan",2008,"Leather.Goods",NA
"2617","Japan",2009,"Leather.Goods",17.5
"2618","Japan",2010,"Leather.Goods",13.2
"2619","Japan",2011,"Leather.Goods",11.4
"2620","Japan",2012,"Leather.Goods",15.6
